what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1733926673504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1733927038915
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1733927638889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1733927662955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1733927663496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1733927687399
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1733927711353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1733927804954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1733927807458
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1733927807605
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1733927807737
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1733927809470
